newspaper,category,title,url,content,date_scraped
Independent,Business,BlackRock’s billions show it’s not all gloom for UK business,https://www.independent.co.uk/news/business/stock-markets-blackrock-interest-rates-uk-b2739490.html,"Awful April might just be closing with reason to face May and beyond with a more careful measure of optimism, as Karl Matchett reports I would like to be emailed about offers, events and updates from The Independent. Read our Privacy notice The mood around UK business has ranged from cautious to desperate in the past few months as the economy battles inflation, tax grabs, rising labour costs and the prospects of US tariffs. Add in constant political pressures giving a bleak outlook and the stock market plummeting in early April on the back of those tariffs, and UK plc could be forgiven for thinking 2025 might become a year to forget. But perhaps all is not as bad as it was beginning to appear, with some important signs giving relief and optimism to some businesses who got a share price backing boost thanks to the world’s biggest investor, BlackRock, building stakes in multiple companies. And the most imminent boost will be a cut to interest rates. The Bank of England meets on 8 May and a 0.25 per cent cut appears all but guaranteed at this stage. And back-to-back rates cuts are entirely possible, bringing the Bank Rate down to 4 per cent by summer. It would be the first time since March 2023 that the interest rate returns to that level, easing costs for business owners with debt and perhaps allowing more consideration to investment on projects and other spending which could spark opportunities for the growth the economy desperately needs. Some businesses already look well-positioned to capture that growth, believes Larry Fink, chief executive at BlackRock. “[The company has] allocated more capital back to the UK tactically now with the belief that in the short run, the new administration is trying to tackle some of the hard issues,” Mr Fink toldThe Times. “I think the prime minister is articulating the needs of what we have to do. I have more confidence in the UK economy today than I did a year ago.” Pointing to some of the financial institutions that had seen their share price hammered this year as the FTSE 100 dropped along with other major stock markets, Mr Fink explained how BlackRock had taken stakes in different sectors in the belief the selloff was overdone. “So many of the UK stocks discounts were too deep, especially like in the banking system. Look at the rebound in the valuations of NatWest and Lloyds and how they bounced. We added to our positions across the board with the idea that we believe the market was discounting too much negativity. And we believe the negativity was probably not warranted,” he said. Having seen a significant drop from 3 April onwards, the FTSE 100 - the biggest firms on the London Stock Exchange - have bounced back somewhat and now remain up more than two per cent since the start of 2025, even if they have collectively not reached March’s high points. Interest rate drops - while affecting households in terms of mortgages, savings accounts and so on - also impact investing. That is in part due to lower guaranteed returns from cash or like-cash holdings, meaning more risk may be taken on in the form of stock market equities. Rising share prices help improve investor and business confidence, while consumers may then benefit from having more money in their own pockets if rate drops mean they pay less on mortgages and other debt. There are further positives in other sectors. Retail sales rose almost half a percent in the UK during March, and that came ahead of April when the rise to minimum wage kicked in meaning more money in some workers’ pockets. Jacqui Baker, head of retail at RSM UK, said: “Glimpses of warmer weather and improving consumer confidence meant retail sales continued its upward trend in March. Sales volumes rose for the third consecutive month, reaching their highest level since July 2022. The first quarter of 2025 suggests consumer spending is slowly starting to return, which should provide some reason for optimism in the retail sector.” Then there’s analysis from Barclays, showing both wage growth easing and contraction in employment. Both of these factors will further ease pressure on the Bank of England when it comes to deciding rates cuts. Small wins they might seem, and with little impact of individuals, but as we so often see in businesses, it’s those small wins adding up continuously which lead to the potential to outperform. Awful April might just be closing with reason to face May and beyond with a more careful measure of optimism. Join thought-provoking conversations, follow other Independent readers and see their replies",2025-05-10
Independent,Business,Why Tesla’s fall forced Musk to step back from DOGE,https://www.independent.co.uk/news/business/tesla-elon-musk-doge-profits-share-price-stock-b2737802.html,"A 71 per cent drop in profits and tanking share price have forced Elon Musk to cut down his time as Trump’s costcutter-in-chief. Alicja Hagopian and Karl Matchett explore what happened I would like to be emailed about offers, events and updates from The Independent. Read our Privacy notice At the start of the year, Tesla’s share price was at an all-time high. Elon Musk, owner of the electric vehicle giant, was coasting on the win of his ally Donald Trump, and investors were hedging their bets that soon-to-be-President Trump would enact policies in favour of Tesla and the billionaire’s other companies. But with an astronomical fall in share price, tanking sales and shrinking profits, the reality for Tesla has been far different – and much of it is tied to Musk’s public-facing role in the controversial Department of Government Efficiency (DOGE). Tesla stock once made up the majority of Musk’s wealth, but now it is reporting huge drops in profit. The decision to step away from DOGE may show that Musk is not immune to Tesla’s downfall. Within one month of Musk’s appointment to DOGE, Tesla shares were down 16.5 per cent. Within two, Tesla’s share price was down 45 per cent from when Trump came into office. And Musk himself has lost an estimated $149 billion in wealth since taking the helm at DOGE; at $301 billion compared to $449 billion, according to Bloomberg’s Billionaire Index. Tesla’s share price problems have been far from cosmetic. The business is facing significant headwinds, not least because of the intertwined reputation with its notorious leader. In January and February, Tesla sales in Europe saw sudden dips, of 45 per cent and 39 per cent respectively year-on-year - despite steady growth in the European electric vehicle (EV) market. The numbers behind this week’s latest earnings reports are, as expected, not pretty. Quarterly profits of $409m contrasted starkly with last year’s $1.4bn figure for the same three months - and the 71 per cent drop represents the company’s lowest quarterly profits since 2020. Actual vehicle sales reported this month were down 13 per cent to a little over a third of a million across the January to March quarter, with notable declines in China and parts of the US, while revenue of $19.3bn fell short of forecasts by more than $2bn and operating margins fell to 2.1 per cent. “Earnings margin of 2.1 per cent is the lowest since Tesla approached break-even in 2019,” said Mamta Valechha, consumer discretionary analyst at Quilter Cheviot. “Free cash flow dipped to $660 million, but did not enter negative territory as capital expenditures were nearly halved compared to the prior year due to reduced investments. “Tesla has [also] effectively removed its growth guidance for this year, no longer promising a return to growth in 2025.” Additional factors affecting sales include competition from China’s BYD (Build Your Dreams), which undercuts Tesla on price, while frequent recalls of Tesla vehicles may also be doing little to boost confidence in the brand. But it is impossible to ignore a major factor impacting its brand: Musk’s growing unpopularity. Musk has made no secret of his increasingly controversial political viewpoints. From accusations of a nazi salute at the inauguration, to criticising Volodmyr Zelensky as “evil” over the war in Ukraine, it is easy to see how his actions have ruffled feathers. As a result, a string of attacks have targeted Teslas in Europe and the US over the past few months, with clear anti-Musk messages. Tesla owners have faced threats to sell their cars over “Nazi Extremism” in California, while even in the UK, campaign groups have applied pressure against Tesla cars and charging points. Tesla shareholders are pushing back against Musk’s alignment with Trump; his decision to step partly away from DOGE indicates Musk is likely feeling the blowback himself. Investors may have hoped that Musk’s role in the administration would see carveouts for Tesla in Trump’s trade war. But in fact, the electric vehicle brand is far from immune. Tesla manufactures its electric vehicles in the US, which makes it less exposed to 25 per cent automotive tariffs than foreign brands. But the tariffs are not just on finished cars; there is also a 25 per cent levy on all imported automotive parts, and Tesla relies on many parts imported from China, in addition to Mexico and Canada: the company is dependent on imported lithium iron phosphate (LFP) batteries to fuel its EVs, in particular using Chinese manufacturer CATL to supply its factories. And China’s new restrictions on rare earth minerals and magnets have also impacted other projects from Tesla such as its Optimus humanoid robots. With Tesla dependent on batteries and rare earth products from China, the trade war will inevitably hit its supply chain. Following Tesla’s plummeting profits, it might have been expected that the share price could drop further - but the opposite has happened. On Tuesday, the share price had risen 4.6 per cent; following the announcement of Mr Musk’s intentions to resume greater oversight of corporate rather than Capitol Hill activities, that trajectory continued. Tesla shares are up more than seven per cent in pre-trading, set to open well above $250 per share - still a far cry from December’s peak. Lowered expectations can explain part of it, as well as a broader desire from investors to see a bull run resume - from lower share price starting points. “Tesla’s first-quarter delivery and production numbers were as ugly as its Cybertruck design. That meant expectations were rock-bottom in the run-up to its financial results and it’s why the shares didn’t tank upon release of the Q1 earnings,” noted Dan Coatsworth, investment analyst at AJ Bell. “Certain individuals are spotting an opportunity and might take the view that Tesla’s significant share price decline has gone too far - they’re buying on the dip, hoping for a bounce-back and might view the recent sell-off as a once-in-a-lifetime chance to pick up shares in a previous stock market darling on the cheap. After all, the fundamentals still give bulls something to get excited about.” Not everyone is quite as excited about those humanoid robots, self-driving taxis and energy storage products though. “While Tesla is making progress on these initiatives, we believe the market and management commentary are overly optimistic about the timing. The narrative around Tesla’s stock and valuation remains heavily dependent on these future prospects,” Valechha cautioned. It should also be noted, the uptick isn’t totally down to Tesla, Musk or anything to do with electrification - Trump’s China tariff climbdown has sent the S&P 500 two per cent higher in pre-trading, with the likes of Amazon and Nvidia up four per cent each. Market volatility comes as standard in this second Trump term, and for Tesla which inadvertently became a crossover company to the political arena, that continues to go double. Join thought-provoking conversations, follow other Independent readers and see their replies",2025-05-10
Independent,Business,Business,https://www.independent.co.uk/news/business,"Bringing investment opportunities for the masses and promoting women in finance – Revolut Trading UK CEO Yana Shkrebenkova talks to Karl Matchett E2E, in association with The Independent and in partnership with Universal Partners, proudly unveils the 2025 E2E Female 100 track.",2025-05-10
Independent,Business,Mandelson ‘looking forward’ to bringing down more US tariffs,https://www.independent.co.uk/news/business/mandelson-looking-forward-to-bringing-down-more-us-tariffs-b2748330.html,"I would like to be emailed about offers, events and updates from The Independent. Read our Privacy notice Sir Keir Starmer’s ambassador in Washington has said he is “looking forward” to negotiating with the US to “bring down further tariffs”. Lord Peter Mandelson told the BBC that Thursday’s deal represents a “platform for going further and opening up more trade opportunities”, as the Prime Minister declined to rule out the possibility of changes to tech taxes in a future trade deal. On Friday, Donald Trump’s press secretary insisted that the president will stand firm on the blanket 10% tariff on most UK imports into the US, telling reporters that he is “committed” to the levy. The deal announced on Thursday cut taxes on car imports of 100,000 a year from 27.5% to 10%, and also reduced tariffs on steel and aluminium through quotas. The baseline 10% rate for other goods remains in place but officials are still trying to negotiate on it. Lord Mandelson told Newsnight: “I’m very pleased with what we’ve achieved. It’s taken many months of very tough negotiation, and it’s also a platform going further and opening up more trade opportunities.” He added: “We’re going to negotiate further and bring down further tariffs and remove further barriers to trade between us, that’s what we’re committed to, and I’m looking forward to doing that.” Karoline Leavitt told a White House press briefing that the US president is “committed to the 10% baseline tariff” imposed in April “not just for the United Kingdom, but for his trade negotiations with all other countries as well”. Business Secretary Jonathan Reynolds told reporters on Thursday that the UK’s conversations with the US about “those wider tariff lines and the 10% reciprocal tariff” were continuing. It comes as Sir Keir Starmer did not rule out the possibility of changes to the digital services tax as part of any future trade agreement and said that discussions on other aspects are “ongoing”. It imposes a 2% levy on the revenues of several major US tech firms. Previous speculation suggested that the UK could revise the measure as part of a deal. Speaking to broadcasters on board HMS St Albans during a visit to Norway, Sir Keir said: “The deal that we signed off yesterday doesn’t cover that. “That’s predominantly focused on steel and aluminium, and reducing those tariffs on car manufacturing and reducing the tariffs there, and then future-proofing for pharmaceuticals, three really important sectors, and that, as I say, will be measured in thousands and thousands of jobs that will be protected, saved and will thrive as a result of this. “On digital services, there are ongoing discussions, obviously, on other aspects of the deal, but the important thing to focus on yesterday is the sectors that are now protected that the day before yesterday were very exposed.” Lord Mandelson said that digital services were brought up during the negotiations for this week’s agreement, and told the BBC that “what they suggested wasn’t acceptable to us, so it’s not in the deal”. The deal on Thursday is the first struck by the US since the new tariffs were unveiled last month, and comes after weeks of transatlantic talks. Sir Keir told the Independent that he has “struck up a good relationship” with the president. “I am the sort of person that tries to have constructive and positive relations with people,” he said. Kemi Badenoch has said she is “concerned” about the prospects of the UK going on to strike a full free trade agreement in the wake of Thursday’s agreement. Speaking to reporters during a visit in Essex on Friday, the Conservative leader was asked whether she thought Thursday’s deal was a success. “It’s not a huge success at all,” she said. “It’s not even a trade deal, it’s a tariff deal, and we are in a worse position now than we were six weeks ago. “It’s better than where we were last week, so it’s better than nothing, but it’s not much. “One of the things that concerns me is that we will probably now not get a comprehensive free trade agreement.”",2025-05-10
Independent,Business,"Trump ‘committed’ to 10% tariff rate despite deal, says White House",https://www.independent.co.uk/news/business/trump-committed-to-10-tariff-rate-despite-deal-says-white-house-b2748250.html,"I would like to be emailed about offers, events and updates from The Independent. Read our Privacy notice Donald Trump will stand firm on the blanket 10% tariff on most UK imports into the US, his press secretary has indicated, as the Prime Minister declined to rule out the possibility of changes to tech taxes in a future trade deal. Karoline Leavitt told a White House press briefing that the US president is “committed to the 10% baseline tariff” imposed in April “not just for the United Kingdom, but for his trade negotiations with all other countries as well”. The 10% levy remained in place following Thursday’s deal between the UK and the US, but the Business Secretary had said negotiations with the US on it were set to continue. Asked whether the 10% rate would still remain for the UK once the final details of the deal had been settled, the White House press secretary said: “The president is committed to the 10% baseline tariff, not just for the United Kingdom, but for his trade negotiations with all other countries as well.” The deal announced on Thursday cut taxes on car imports of 100,000 a year from 27.5% to 10%, and also reduced tariffs on steel and aluminium through quotas. On the Government’s efforts to try and reduce or even remove the wider 10% levy, Business Secretary Jonathan Reynolds had told reporters on Thursday: “The process by which we will continue the negotiation with the US about those wider tariff lines and the 10% reciprocal tariff continues. There is no deadline for that.” It comes as Sir Keir Starmer did not rule out the possibility of changes to the digital services tax as part of any future trade agreement and said that discussions on other aspects are “ongoing”. It imposes a 2% levy on the revenues of several major US tech firms. Previous speculation had suggested that the UK could revise the measure as part of a deal. Speaking to broadcasters on board HMS St Albans during a visit to Norway, Sir Keir said: “The deal that we signed off yesterday doesn’t cover that. “That’s predominantly focused on steel and aluminium, and reducing those tariffs on car manufacturing and reducing the tariffs there, and then future-proofing for pharmaceuticals, three really important sectors, and that, as I say, will be measured in thousands and thousands of jobs that will be protected, saved and will thrive as a result of this. “On digital services, there are ongoing discussions, obviously, on other aspects of the deal, but the important thing to focus on yesterday is the sectors that are now protected that the day before yesterday were very exposed.” Kemi Badenoch has said she is “concerned” about the prospects of the UK going on to strike a full free trade agreement. Speaking to reporters during a visit in Essex on Friday, the Conservative leader was asked whether she thought Thursday’s deal was a success. “It’s not a huge success at all,” she said. “It’s not even a trade deal, it’s a tariff deal, and we are in a worse position now than we were six weeks ago. “It’s better than where we were last week, so it’s better than nothing, but it’s not much. “One of the things that concerns me is that we will probably now not get a comprehensive free trade agreement.”",2025-05-10
Independent,Politics,Digitising NHS and adult social care ‘will cost £21bn over the next five years’,https://www.independent.co.uk/news/uk/politics/nhs-health-foundation-government-england-department-of-health-and-social-care-b2746961.html,"I would like to be emailed about offers, events and updates from The Independent. Read our Privacy notice Digitising NHS and social care will cost £21 billion over the next five years, but could be vital for driving down waiting lists, according to new research. A report said the UK will need to spend billions to fully implement electronic patient records, cloud storage, cyber security and wi-fi, with the skills and capabilities needed to use them. The Health Foundation charity commissioned PA Consulting ahead of the forthcoming Government spending review, and publication of the 10-year health plan, to estimate the costs of making the transformation to digital services. The Government has pledged to move the health service from analogue to digital as part of its “three shifts” for the NHS, which also include moving care from hospitals to communities and preventing sickness. In the new report, estimates suggest that £8 billion of capital spending (of which £5 billion is for England) is needed for things like hardware, software and electronic patient records. A further £3 billion would be one-off revenue spending (of which £2.25 billion is for England), for planning, initial education and training, implementation of new technologies and transition from old systems. Some £2 billion recurring annual spending (of which £1.5 billion per year is for England) over five years is also needed for ongoing training, software subscriptions, maintenance, improvement and optimisation. Recurring costs will then carry on beyond the five-year period. According to the Health Foundation, while it may be possible to cover some of the costs from existing budgets, it is highly likely the Government will need to commit additional funding. Tom Hardie, senior improvement fellow at the Health Foundation, said: “Digitisation is going to be really critical for the NHS and social care to be sustainable and fit for the 21st century. “When we talk about waiting times in particular, I think there are hopes that digitisation could help to address waiting times. “Within this research, we haven’t set out to define or quantify the benefits of digitisation, but I think it’s possible to say that digitisation could theoretically help to reduce waiting times. “So, for example, making it easier and simpler for people to get appointments or to cancel and rebook appointments. “It could help to optimise (operating) theatre schedules, improve prevention of acute episodes of care through remote monitoring of people with health conditions, improved triage processes to help direct people to the right services first time (and) perhaps avoiding more resource-intensive services like A&E.” Making the NHS more digitally capable will also free up staff time, he said. Figures suggest that medics lose more than 13.5 million hours a year because of inadequate or malfunctioning IT. Dr Malte Gerhold, director of innovation and improvement at the Health Foundation, said: “Our independently commissioned research finds that to achieve the Government’s ambitions to digitise health and social care, significant spending will be needed over the next five years and beyond. “But direct investment in technology alone is not sufficient. “The Government must fund the change not just the tech. This means investing in and planning for implementation and change to genuinely realise the benefits of digitisation for patients and staff.” A Department of Health and Social Care spokeswoman said the private sector is 15 years ahead of the NHS on technology, adding: “This Government is bringing our analogue NHS into the digital age, to improve the productivity of the NHS, deliver better care for patients and better value for taxpayers. “We are already making significant progress by introducing cutting-edge AI and technology to support clinicians and improve care, reforming the NHS app to give patients more control, and centralising patient records to speed up diagnosis and treatment. “This is only possible because of the increase in employers’ national insurance, which allowed us to invest an extra £26 billion for health and social care.”",2025-05-10
Independent,Politics,UK Politics,https://www.independent.co.uk/news/uk/politics,"Notifications can be managed in browser preferences. Please refresh the page or navigate to another page on the site to be automatically logged inPlease refresh your browser to be logged in I would like to be emailed about offers, events and updates from The Independent. Read our Privacy notice Please refresh the page or navigate to another page on the site to be automatically logged inPlease refresh your browser to be logged in",2025-05-10
Independent,Politics,Keir Starmer breaks silence on US-UK trade deal with Trump,https://www.independent.co.uk/tv/news/starmer-uk-us-trade-deal-interview-b2747039.html,"01:51 Lucy Leeson | Thursday 08 May 2025 09:10 BST Sir Keir Starmer has said he will “always act in our national interest” and “deliver security and renewal for our country” as he discussed an impending announcement on trade talks with the US. In a speech at the London Defence Conference on Thursday (8 May), the prime minister said: ""As you know, talks with the US have been ongoing and you'll hear more from me about that later today. “But make no mistake, I will always act in our national interest, for workers, businesses and families, to deliver security and renewal for our country."" 00:48 00:26 01:39 01:55 10:44 07:06 07:42 08:21 17:10 06:38 09:22 05:39 04:42 04:46 06:17 05:14 07:54 06:29 07:27 05:23 02:03 03:22 02:15 02:22 02:21 01:43 01:42 01:45 10:44 03:44 07:42 09:22 06:11 07:50 06:21 02:19 05:49 05:45 04:13 03:58 04:06 03:41 04:08 04:10 03:51 04:18 06:26 04:30 03:35 03:45 07:34 08:19 10:42 06:27 07:23 06:35 12:18 11:50 09:03 13:07 07:25 04:31 07:30 03:34 03:18 03:21 03:28 04:57 00:16 00:26 00:39 00:42 01:00 00:59 04:00 00:42 00:49 00:33 01:00 00:31 00:54 01:08 01:35 00:47 00:42 00:23 19:48 00:35 00:40 04:36 00:28 00:16 01:00 01:02 00:57 00:23 00:36 01:33 02:30 00:50 03:29 03:07 03:07 03:24 01:36 00:42 01:26 00:32 00:31 02:00 00:40 00:58 04:23 04:26 01:01 01:07 15:55 16:33 16:06 15:01 15:16 01:16 00:36 00:48 01:08 01:12 01:23 01:24 Live 01:51 02:07 02:00 02:09 01:00:15 02:13 01:55 00:58",2025-05-10
Independent,Politics,What could a UK-US trade deal include and how could it effect tariffs?,https://www.independent.co.uk/news/uk/politics/us-uk-trade-deal-explained-trump-starmer-b2747000.html,"The Independent explains what tariffs are still hitting the UK despite trade deal with the US I would like to be emailed about offers, events and updates from The Independent. Read our Privacy notice Donald Trump has unveiled a ""historic agreement"" with the UK, the culmination of Sir Keir Starmer’s months-long charm offensive towards the US president. A month after his so-called Liberation Day tariffs began to bite, Britain has now achieved a series of significant carve-outs from sweeping tariffs on UK carmakers, steelworks and farmers. The deal is a major boost for the prime minister, coming hot on the heels of a trade agreement between the UK and India this week. Donald Trump said the agreement with the UK is a “great deal for both countries”, while Sir Keir said “this is a really fantastic, historic day” as he spoke to the US president about the deal on the phone. Here, The Independent looks at how different sectors of Britain’s economy will be affected. The deal, which the UK government has said will save “thousands of jobs”, will see car export tariffs slashed from 27.5 per cent to 10 per cent, for a quota of 100,000 UK cars. This, the government said, is almost the total the UK exported last year. The agreement is crucial as it will allow British carmakers to restart sales to the American market. Jaguar Land Rover had suspended US shipments in the wake of Mr Trump’s ‘Liberation Day’ tariff announcements, and Sir Keir was keen to announce the trade deal at the company’s Solihull manufacturing plant to offer reassurance to workers at the firm and across the sector. Mr Trump’s 25 per cent tariffs on steel and aluminium will be axed entirely, in a major boost for the beleaguered sector. The government last month took control of British Steel to prevent the closure of its Scunthorpe blast furnaces and hopes Thursday’s trade deal will keep the sector alive. The two governments have negotiated new reciprocal market access on beef, giving UK farmers a tariff-free quota of 13,000 metric tonnes of meat. There are concerns that the new reciprocal market access on beef could lead to a decline in food standards. However, the UK government insisted that there will be “no weakening of UK food standards on imports”, amid concerns a deal could pave the way for the import of hormone-treated beef from the US. Donald Trump also played down concerns that it could open up UK markets to chlorine-washed chicken, saying the UK will “take what they want” when it comes to US beef and chicken imports, rather than being forced to accept lower standards. US agriculture secretary Brooke Rollins added: “Specific to the beef, this is going to exponentially increase our beef exports. And to be very clear, American beef is the safest, the best quality, and the crown jewel of American agriculture for the world.” A consistent red line in negotiations has been food standards, amid fears a trade deal could open Britain’s doors to hormone-injected beef and chlorinated chicken. Business secretary Jonathan Reynolds and chancellor Rachel Reeves have both ruled out lowering Britain's food standards to get a deal over the line, in a boost to struggling farmers. The government also failed to secure carve-outs for tariffs on pharmaceuticals and the remaining 10 per cent reciprocal tariffs imposed on Britain. The government said “work will continue” on those. There have also been no concessions secured for the film and TV industry, after Mr Trump threatened to apply a 100 per cent levy on films made outside America, which the PM has been warned would devastate film and TV production in the UK. There were also concerns that the US was trying to win concessions on Britain’s digital services tax, paid by overseas search engines and social media sites on revenues from the UK. But today’s deal saw the tax left unchanged. A change to the tax would have been a boost to major American firms such as Amazon, Facebook owner Meta and Google owner Alphabet. Instead, the two nations have agreed to work on a digital trade deal that will strip back paperwork for British firms trying to export to the US - something the government said would open the UK up to a “huge market that will put rocket boosters on the UK economy”. Tariffs on ethanol, which Downing Street wrongly claimed is used to produce beer, have been removed entirely. In addition to this, Downing Street has also said that the US has agreed to give the UK “preferential treatment” in any further tariffs imposed as part of Section 232 investigations - a process where the US government determines if certain imports threaten US national security. Join thought-provoking conversations, follow other Independent readers and see their replies",2025-05-10
Independent,Politics,Who will benefit most from a new UK-US trade deal?,https://www.independent.co.uk/news/uk/politics/trade-deal-us-uk-tariffs-trump-starmer-b2746989.html,"Vice-president JD Vance has said there is a ‘good chance’ a deal could be reached soon, but what are the red lines, and will it mean Britain can avoid tariffs? Alicja Hagopian, David Maddox and Archie Mitchell explain I would like to be emailed about offers, events and updates from The Independent. Read our Privacy notice Sir Keir Starmer and Donald Trump are on the brink of announcing a new trade deal after nearly five years of negotiations. The previous government began discussions for a free trade agreement in May 2020 with then-president Joe Biden’s administration. Now, Mr Trump has said ""major trade deal"" will be announced with a ""highly respected country"" on Thursday, widely believed to be a reference to the UK. Sir Keir's spokesman has promised an update from the prime minister on Thursday, too, all but confirming a deal has been done. While the UK initially received the lowest possible tariff rate under Mr Trump's trade war, with 10 per cent taxes applied on exports to the United States, it was later left at the same rate as the rest of the world. But Thursday's announcement confirms a coup for Sir Keir, with his fawning diplomatic approach to Mr Trump appearing to have paid off. Sir Keir Starmer’s government has made no pretence over the fact that it is not looking for a traditional comprehensive trade deal. Instead, it is pushing for an agreement based around the growth of “future” industries, such as biotech, new pharmaceuticals and artificial intelligence. The proposal is that the UK and US research base, coupled with the money markets in New York and London, would create a powerhouse for the latest industrial revolution, which could shape the future of the world. The US largely embraces this idea, but there are caveats, and the negotiations have been complicated by President Trump’s tariffs. While a final deal would see close integration for those future growth industries, it now would also mean deals on more traditional areas to remove tariffs altogether. The biggest issue – as is often the case – will be how far it affects agricultural products. Mr Trump’s team would like the UK to allow chlorinated chicken or beef with added hormones. But the UK does not want to go this far. There could also be demands for the UK to repeal legislation on tech controls, which the White House says affects free speech. In the end, the quick deal will be closer to the UK vision on future growth technologies, but the ongoing question is how much Sir Keir will have to compromise in other areas. The US continues to be Britain’s largest single-country trading partner, followed by Germany, the Netherlands, Ireland and France. As a bloc, trade with the EU is significantly higher. The UK has nearly no trade imbalance with the US when it comes to goods, exporting £59.3bn and importing £57.2bn in 2024. This has likely contributed to the fact that Britain has not been in Mr Trump’s firing range when it comes to extra tariffs – and why a trade deal is on the cards. Currently, the UK is facing a 10 per cent tariff on all goods exported to the US. British automotive and steel exports are taking a stronger blow, with a separate 25 per cent levy on sales to the US market. Cars are Britain’s single largest export to the US, valued at £8.3bn in the year up to November 2024. The US is also the top buyer of domestic cars, from Aston Martin to Mini; though British brand Jaguar Land Rover (JLR) is the most at risk from tariffs, with the US being its top sales market. This has been a point of tension between Sir Keir and Mr Trump, as negotiations to exempt the UK from these industry-specific tariffs have so far fallen short. Other industrial exports are also high on the list, with £5.3bn in mechanical power generators and £2.3bn in aircraft sent to the US last year. Meanwhile, the UK’s health and scientific industries are also reliant on the US market. The UK sent vaccines, medicines and other pharmaceutical products worth £7.3bn to the US last year, and £2.4bn in scientific instruments like microscopes and X-ray equipment. Britain buys billions in medical and pharmaceutical products from the US, too, meaning that both industries are significantly intertwined, with health secretary Wes Streeting warning that tariffs could pose challenges. The UK only imports around £100m in animal products from the US, a point of contention for Mr Trump, who has urged Britons to buy more chlorinated and hormone-treated animal products such as beef and chicken. Meanwhile, crude oil is Britain’s leading import from the US, at £8.6bn in the 12 months up to November 2024. President Trump has suggested in the past that buying more American oil and gas could be a way to curry favour in the global trade war. Services are perhaps the most significant element of UK-US trade, representing some £179bn in services exchanged between the two countries. The UK benefits from an open relationship with the US, exporting twice as many services (£124bn) as it imports (£55bn). This includes £52.3bn across various business services, £27.8bn in financial services, and £11bn in insurance and pensions. Perhaps most importantly, with regards to the new trade deal, the UK exports £10.3bn in telecoms, tech and IT services across the pond – and imported £3.5bn last year. The tech industry – in particular AI, biotech and quantum – is on the agenda for UK-US negotiations, as both sides seek to deepen their ties in so-called “future industries”. On a visit to California last month, UK technology secretary Peter Kyle met with US tech leaders, including OpenAI, Anthropic and Nvidia, touting Britain as a global hub for AI investment. Both countries have been aligned on tech for some time and have expressed their intentions to steamroll ahead on AI. In February, both the UK and the US refused to sign an international agreement on AI, which aimed to make development “open”, “inclusive”, and “ethical”. While the UK cited national security concerns, the US said that overregulation would “kill a transformative industry”. Less than one year earlier, both countries – under different governments – had announced a partnership on AI safety. Join thought-provoking conversations, follow other Independent readers and see their replies",2025-05-10
