newspaper,category,title,url,content,date_scraped
Independent,Business,BlackRock’s billions show it’s not all gloom for UK business,https://www.independent.co.uk/news/business/stock-markets-blackrock-interest-rates-uk-b2739490.html,"Awful April might just be closing with reason to face May and beyond with a more careful measure of optimism, as Karl Matchett reports I would like to be emailed about offers, events and updates from The Independent. Read our Privacy notice The mood around UK business has ranged from cautious to desperate in the past few months as the economy battles inflation, tax grabs, rising labour costs and the prospects of US tariffs. Add in constant political pressures giving a bleak outlook and the stock market plummeting in early April on the back of those tariffs, and UK plc could be forgiven for thinking 2025 might become a year to forget. But perhaps all is not as bad as it was beginning to appear, with some important signs giving relief and optimism to some businesses who got a share price backing boost thanks to the world’s biggest investor, BlackRock, building stakes in multiple companies. And the most imminent boost will be a cut to interest rates. The Bank of England meets on 8 May and a 0.25 per cent cut appears all but guaranteed at this stage. And back-to-back rates cuts are entirely possible, bringing the Bank Rate down to 4 per cent by summer. It would be the first time since March 2023 that the interest rate returns to that level, easing costs for business owners with debt and perhaps allowing more consideration to investment on projects and other spending which could spark opportunities for the growth the economy desperately needs. Some businesses already look well-positioned to capture that growth, believes Larry Fink, chief executive at BlackRock. “[The company has] allocated more capital back to the UK tactically now with the belief that in the short run, the new administration is trying to tackle some of the hard issues,” Mr Fink toldThe Times. “I think the prime minister is articulating the needs of what we have to do. I have more confidence in the UK economy today than I did a year ago.” Pointing to some of the financial institutions that had seen their share price hammered this year as the FTSE 100 dropped along with other major stock markets, Mr Fink explained how BlackRock had taken stakes in different sectors in the belief the selloff was overdone. “So many of the UK stocks discounts were too deep, especially like in the banking system. Look at the rebound in the valuations of NatWest and Lloyds and how they bounced. We added to our positions across the board with the idea that we believe the market was discounting too much negativity. And we believe the negativity was probably not warranted,” he said. Having seen a significant drop from 3 April onwards, the FTSE 100 - the biggest firms on the London Stock Exchange - have bounced back somewhat and now remain up more than two per cent since the start of 2025, even if they have collectively not reached March’s high points. Interest rate drops - while affecting households in terms of mortgages, savings accounts and so on - also impact investing. That is in part due to lower guaranteed returns from cash or like-cash holdings, meaning more risk may be taken on in the form of stock market equities. Rising share prices help improve investor and business confidence, while consumers may then benefit from having more money in their own pockets if rate drops mean they pay less on mortgages and other debt. There are further positives in other sectors. Retail sales rose almost half a percent in the UK during March, and that came ahead of April when the rise to minimum wage kicked in meaning more money in some workers’ pockets. Jacqui Baker, head of retail at RSM UK, said: “Glimpses of warmer weather and improving consumer confidence meant retail sales continued its upward trend in March. Sales volumes rose for the third consecutive month, reaching their highest level since July 2022. The first quarter of 2025 suggests consumer spending is slowly starting to return, which should provide some reason for optimism in the retail sector.” Then there’s analysis from Barclays, showing both wage growth easing and contraction in employment. Both of these factors will further ease pressure on the Bank of England when it comes to deciding rates cuts. Small wins they might seem, and with little impact of individuals, but as we so often see in businesses, it’s those small wins adding up continuously which lead to the potential to outperform. Awful April might just be closing with reason to face May and beyond with a more careful measure of optimism. Join thought-provoking conversations, follow other Independent readers and see their replies",2025-05-18
Independent,Business,Why Tesla’s fall forced Musk to step back from DOGE,https://www.independent.co.uk/news/business/tesla-elon-musk-doge-profits-share-price-stock-b2737802.html,"A 71 per cent drop in profits and tanking share price have forced Elon Musk to cut down his time as Trump’s costcutter-in-chief. Alicja Hagopian and Karl Matchett explore what happened I would like to be emailed about offers, events and updates from The Independent. Read our Privacy notice At the start of the year, Tesla’s share price was at an all-time high. Elon Musk, owner of the electric vehicle giant, was coasting on the win of his ally Donald Trump, and investors were hedging their bets that soon-to-be-President Trump would enact policies in favour of Tesla and the billionaire’s other companies. But with an astronomical fall in share price, tanking sales and shrinking profits, the reality for Tesla has been far different – and much of it is tied to Musk’s public-facing role in the controversial Department of Government Efficiency (DOGE). Tesla stock once made up the majority of Musk’s wealth, but now it is reporting huge drops in profit. The decision to step away from DOGE may show that Musk is not immune to Tesla’s downfall. Within one month of Musk’s appointment to DOGE, Tesla shares were down 16.5 per cent. Within two, Tesla’s share price was down 45 per cent from when Trump came into office. And Musk himself has lost an estimated $149 billion in wealth since taking the helm at DOGE; at $301 billion compared to $449 billion, according to Bloomberg’s Billionaire Index. Tesla’s share price problems have been far from cosmetic. The business is facing significant headwinds, not least because of the intertwined reputation with its notorious leader. In January and February, Tesla sales in Europe saw sudden dips, of 45 per cent and 39 per cent respectively year-on-year - despite steady growth in the European electric vehicle (EV) market. The numbers behind this week’s latest earnings reports are, as expected, not pretty. Quarterly profits of $409m contrasted starkly with last year’s $1.4bn figure for the same three months - and the 71 per cent drop represents the company’s lowest quarterly profits since 2020. Actual vehicle sales reported this month were down 13 per cent to a little over a third of a million across the January to March quarter, with notable declines in China and parts of the US, while revenue of $19.3bn fell short of forecasts by more than $2bn and operating margins fell to 2.1 per cent. “Earnings margin of 2.1 per cent is the lowest since Tesla approached break-even in 2019,” said Mamta Valechha, consumer discretionary analyst at Quilter Cheviot. “Free cash flow dipped to $660 million, but did not enter negative territory as capital expenditures were nearly halved compared to the prior year due to reduced investments. “Tesla has [also] effectively removed its growth guidance for this year, no longer promising a return to growth in 2025.” Additional factors affecting sales include competition from China’s BYD (Build Your Dreams), which undercuts Tesla on price, while frequent recalls of Tesla vehicles may also be doing little to boost confidence in the brand. But it is impossible to ignore a major factor impacting its brand: Musk’s growing unpopularity. Musk has made no secret of his increasingly controversial political viewpoints. From accusations of a nazi salute at the inauguration, to criticising Volodmyr Zelensky as “evil” over the war in Ukraine, it is easy to see how his actions have ruffled feathers. As a result, a string of attacks have targeted Teslas in Europe and the US over the past few months, with clear anti-Musk messages. Tesla owners have faced threats to sell their cars over “Nazi Extremism” in California, while even in the UK, campaign groups have applied pressure against Tesla cars and charging points. Tesla shareholders are pushing back against Musk’s alignment with Trump; his decision to step partly away from DOGE indicates Musk is likely feeling the blowback himself. Investors may have hoped that Musk’s role in the administration would see carveouts for Tesla in Trump’s trade war. But in fact, the electric vehicle brand is far from immune. Tesla manufactures its electric vehicles in the US, which makes it less exposed to 25 per cent automotive tariffs than foreign brands. But the tariffs are not just on finished cars; there is also a 25 per cent levy on all imported automotive parts, and Tesla relies on many parts imported from China, in addition to Mexico and Canada: the company is dependent on imported lithium iron phosphate (LFP) batteries to fuel its EVs, in particular using Chinese manufacturer CATL to supply its factories. And China’s new restrictions on rare earth minerals and magnets have also impacted other projects from Tesla such as its Optimus humanoid robots. With Tesla dependent on batteries and rare earth products from China, the trade war will inevitably hit its supply chain. Following Tesla’s plummeting profits, it might have been expected that the share price could drop further - but the opposite has happened. On Tuesday, the share price had risen 4.6 per cent; following the announcement of Mr Musk’s intentions to resume greater oversight of corporate rather than Capitol Hill activities, that trajectory continued. Tesla shares are up more than seven per cent in pre-trading, set to open well above $250 per share - still a far cry from December’s peak. Lowered expectations can explain part of it, as well as a broader desire from investors to see a bull run resume - from lower share price starting points. “Tesla’s first-quarter delivery and production numbers were as ugly as its Cybertruck design. That meant expectations were rock-bottom in the run-up to its financial results and it’s why the shares didn’t tank upon release of the Q1 earnings,” noted Dan Coatsworth, investment analyst at AJ Bell. “Certain individuals are spotting an opportunity and might take the view that Tesla’s significant share price decline has gone too far - they’re buying on the dip, hoping for a bounce-back and might view the recent sell-off as a once-in-a-lifetime chance to pick up shares in a previous stock market darling on the cheap. After all, the fundamentals still give bulls something to get excited about.” Not everyone is quite as excited about those humanoid robots, self-driving taxis and energy storage products though. “While Tesla is making progress on these initiatives, we believe the market and management commentary are overly optimistic about the timing. The narrative around Tesla’s stock and valuation remains heavily dependent on these future prospects,” Valechha cautioned. It should also be noted, the uptick isn’t totally down to Tesla, Musk or anything to do with electrification - Trump’s China tariff climbdown has sent the S&P 500 two per cent higher in pre-trading, with the likes of Amazon and Nvidia up four per cent each. Market volatility comes as standard in this second Trump term, and for Tesla which inadvertently became a crossover company to the political arena, that continues to go double. Join thought-provoking conversations, follow other Independent readers and see their replies",2025-05-18
Independent,Business,Business,https://www.independent.co.uk/news/business,"Bringing investment opportunities for the masses and promoting women in finance – Revolut Trading UK CEO Yana Shkrebenkova talks to Karl Matchett E2E, in association with The Independent, proudly unveils the E2E International 100 track, a definitive list recognising the exceptional achievements of the top 100 businesses in the UK",2025-05-18
Independent,Business,"Co-op prioritises corporate greed over animal welfare, says Chris Packham",https://www.independent.co.uk/news/business/coop-prioritises-corporate-greed-over-animal-welfare-says-chris-packham-b2752877.html,"I would like to be emailed about offers, events and updates from The Independent. Read our Privacy notice TV presenter Chris Packham has urged the Co-op to stop the sale of so-called “Frankenchickens” as he blamed the “greed of the corporate world” for prioritising profit over animal welfare. The broadcaster and naturalist joined demonstrators outside the supermarket’s AGM in Manchester. They are calling on the chain to ditch fast-growing chickens raised for meat, known as “Frankenchickens”, from its supply chain. “Frankenchickens” are bred to produce the maximum amount of meat in the shortest amount of time and can reach a slaughter weight of more than 2.0kg in five to six weeks, according to animal welfare charity The Humane League. Speaking to the PA news agency from the protest, Packham said the rapid growth rate of the chickens puts a “horrendous” burden on the “physiology and the anatomy” of the birds. “Basically, they’re taking on too much weight too quickly for their skeleton to cope with it, and we see all sorts of hideous deformities and muscular problems in the chickens, they end up scrabbling around in their own excrement, which is acrid and burns their skin off,” he said. Some supermarkets justify their use of “Frankenchickens” by arguing some customers cannot afford meat raised in better welfare conditions, the environmentalist added. “There’s an ethical problem there to start with and that is that people on lower incomes should have as much right to exercise their choices when it comes to the ethics of animal welfare as anyone else,” he said. “That is entirely wrong to say that people can’t afford to make an ethical choice – well, that affordability is in the hands of the Co-op. “They’re the ones that are setting the price and we know full well that supermarkets sell some of the items on their shelves at loss to lure us in, where they make a profit on other items.” Of the price difference between chickens raised in higher and lower welfare conditions, Packham continued: “The interesting thing is, I need to be very clear about this, the increase when it comes to chicken is in pence, not pounds. “It’s pence we’re talking about here, so this is basically the greed of the corporate world, once again, striving to maximise its profits at the expense of high welfare standards.” On his message for Co-op customers, Packham said: “The pound in our pockets or purses is incredibly powerful. “If we don’t buy it, they won’t sell it because they’re interested in making a profit.” A motion proposed at the Co-op AGM (annual general meeting) two years ago to stop the chain using “Frankenchickens” was passed by 96%, but since then “nothing has happened”, he added. Another motion on phasing out the use of the fast-growing chickens was passed at Saturday’s AGM with 90.94% voting in favour. According to the motion, the Co-op is supplied with more than 10 million chickens, 98% of which are “Frankenchickens”. A spokesperson for the Co-op said: “Animal welfare is extremely important to us and our members, and we work hard to ensure all the animals in our supply chain are looked after. “All Co-op fresh chicken is 100% British, reared in lower-stocking density environment and exceeds Red Tractor standards, placing us significantly ahead of most other retailers for chicken welfare. “We will explore all opportunities to continue to improve animal welfare across our supply chain, whilst also considering the impacts on British farming, on the environment and the prices our members and customers pay in store.” Claire Williams, campaigns manager at The Humane League UK, said: “If human babies grew as quickly as Frankenchickens they’d weigh as much as an adult tiger at two months old – that’s nearly 300 kilos. “These birds have been bred to suffer; their lives are marked by pain, stress and burden. Yet so-called ethical retailer Co-op continues to sell them. “This urgently needs to change.” Members at Saturday’s meeting also voted in favour of ceasing “all trading” with Israel following the conflict in Gaza. Citing the Co-op’s previous decision to “boycott Russian products” following the invasion of Ukraine in 2022, the motion read: “We urge the board to show moral courage and leadership, apply the same ethical principles and values it did to Russia, and take all Israeli products off the shelves.” The board said it will consider the thoughts of members expressed by the non-binding vote. The motion passed with 72.8% voting in favour. The supermarket chain is currently recovering after a major cyber attack caused significant disruption including bare shelves in many of its shops in recent weeks.",2025-05-18
Independent,Business,Tax avoidance is on the rise – and the rich are leading the way,https://www.independent.co.uk/news/business/comment/tax-avoidance-rachel-reeves-wealthy-b2752364.html,"New figures show that tax worth billions of pounds a year is being dodged, writes Chris Blackhurst. And despite repeated promises by the chancellor, it is the wealthiest who appear to be getting away with it the most It has taken the government spending watchdog to highlight what has long been suspected, that ministerial claims to be cracking down on tax avoidance come nowhere near the mark. Listening to them, and not only Labour but Tory ministers in recent years, you could be forgiven for supposing that Britain is a state where shielding wealth from the HM Revenue and Customs’ prying eyes is confined to the past. This was Rachel Reeves in her party conference speech last September: “We will crack down on tax avoidance and tax evasion.” And again, in her spring statement, proclaiming the Treasury will tackle “fraud committed by the wealthy, fraud facilitated by those in large corporations, and by individuals and companies who make it possible for others to hide money offshore”. Here is the Conservatives’ Jeremy Hunt, when chancellor in 2023: “We are against all fraud and all tax evasion, and we will continue to work very hard to reduce the tax gap.” To be fair, you could take your pick of any chancellor or shadow chancellor during the last few decades and you will find a speech lambasting tax avoidance schemes accompanied by a ringing pledge to bring them to an end. In its report, the National Audit Office (NAO) warns that the tax gap, the difference between the amount the HMRC believes is due and how much is collected, has risen, which “raises the possibility that underlying levels of non-compliance among the wealthy population could be greater than thought”. This was evidenced by a fall in penalties imposed on the wealthy – defined as those earning more than £200,000 a year or with assets of more than £2m – from 2,153 notices totalling £16.2m in 2018-19 to 456 worth £5.8m in 2023-24. This was over a period when the number of rich individuals in the UK grew, from 700,000 in 2018-19 to 850,000 in 2023-24. This weekend’s Sunday Times Rich List showcases how the rich generally become ever richer and brings the issue into annual sharp relief. Reeves announced tax rises aimed at the wealthy in her first Budget, including reducing the advantages enjoyed by non-doms, increasing capital gains tax and imposing VAT on private school fees. She also moved against winter fuel allowances, changed the inheritance tax rules for farmers and increased employers’ national insurance. While this latter group are going ahead and their effects will be felt, it is clear from the NAO’s findings that the wealthy have ways to escape what was aimed at them. This does not include non-doms who are closely defined and the code that applies to them is simply applied. The reaction of many of the non-doms has been to leave the UK for other countries which are only too glad to welcome them and the money they invest and the jobs they create. In this regard, Reeves is extremely short-sighted. No, it is more about the consistent failure of politicians to clamp down closer to home. They always talk a good game but their performance in office is lamentable. Alas, the same cannot be said for Reeves’ quick hits of winter fuel and the rest – the less well-off are easily clobbered and have no way out. There will likely be a repeat in Reeves’ next budget, due in the autumn, as the softening-up exercise is well underway, with signals appearing suggesting extra money must be found to pay for public services and heightened defence commitments. Brace yourselves for further tax increases is the message as we head into the summer. As well as possessing the ways, the wealthy have the means. It does not take rocket science or even the spending of more than a few minutes to gauge the scale of the UK industry devoted to avoiding tax (evading is illegal and is therefore not so brazen). There are advisers galore, all willing to engage in what is euphemistically called “tax efficiency” for a fee. Those with the largest pots of cash can avail themselves of impenetrable trusts arranged for them in the Channel Islands, Isle of Man and further afield in the likes of Gibraltar, Cayman Islands and British Virgin Islands. Bizarrely, given the “can do, will do” boasts about launching renewed tax drives against the UK wealthy, all the places where UK firms boast of maintaining offices and connections are ours; they are UK-protected. Nothing meaningful is ever done to curb this offshore trade. Along with tourism, it represents a lucrative source of income. Better it occurs, reasons the Foreign Office that oversees them, than they suffer and come cap in hand for London’s financial and welfare support. In her Budget, Reeves provided additional funding for HMRC that specifically included tackling offshore non-compliance. But in its report, the NAO urged ministers to redouble their efforts to secure more of the money owed to the Exchequer. Billions of pounds, concludes the watchdog, are going unpaid each year. Additional steps were required to make sure the wealthy paid their fair share. That did not deter a spokesperson for HMRC from still insisting in relation to the NAO report: “It’s our duty to ensure everyone pays the right tax under the law, regardless of wealth or status. The government is delivering the most ambitious ever package to close the tax gap and bring in an extra £7.5bn for public services per year by 2029-30.” So, we can look forward to the NAO scrutinising in the future and being satisfied, then? Do not count on it. Join thought-provoking conversations, follow other Independent readers and see their replies",2025-05-18
Independent,Politics,The £25bn-a-year prize at stake in Starmer’s Brexit reset talks,https://www.independent.co.uk/news/uk/politics/brexit-uk-eu-reset-trade-deal-starmer-b2752285.html,"A failure to land a deal for easier trading with the EU could cost the UK economy almost £30bn, new analysis shows I would like to be emailed about offers, events and updates from The Independent. Read our Privacy notice A £25bn annual boost to British exports is at stake for Sir Keir Starmer as he tries to secure a Brexit reset deal at a crucial summit on Monday, analysis shared with The Independent reveals. Removing trade barriers on goods, including food and drink and electrical items, could result in a 2.2 per cent uplift in gross domestic product in the long run, boosting the economic growth the prime minister so desperately wants to deliver, financial analysts Frontier Economics found. And a separate assessment by the National Institute for Economic and Social Research (NIESR) warns that a failure to land a deal for easier trading could lead to a 2.7 per cent drop in exports by 2027, costing the UK economy almost £30bn. The impact on the British economy from such a deal is expected to dwarf that of the agreements recently signed with India and the US. On Saturday night, Sir Keir said it would be “good for our jobs, good for our bills and good for our borders”. Gordon Brown’s former economic adviser Lord Jim O’Neill summed up the importance of Sir Keir’s summit in London: “Obviously, the closer and more serious we can get, the better it is for reversing our net trade losses, and importantly, net investment from EU areas. “Given the shock from Trump [tariffs] to Europe, especially on Germany, on top of the Ukraine shock and China slowdown, I think Germany [will be] more open to pro-UK trade issues than before. “Also, I suspect the EU is going to give more than lip service to cross-border services sector reform now. Given UK net advantages in service sector exports, this is important to us.” Such reforms could make it easier for the UK to sell services to the bloc by allowing mutual recognition of qualifications so UK professionals can practice in the EU and vice versa without having a retrain. NIESR’s interim director Stephen Millard said the value of Monday’s deal should not be underestimated. He said: “In 2024 we exported roughly £6.5bn to India, roughly £53.5bn to the United States and roughly £159bn to the European Union. It is fairly clear from those numbers that a trade deal with the European Union is much more likely to shift the dial than the deals with India and the United States.” His assessment was echoed by Chris Southworth, director general of the UK’s largest business organisation, the International Chambers of Commerce, who noted that the trade deal signed with Donald Trump, which saw tariffs slashed on UK car and steel exports, was a “damage limitation agreement” and only accounted for 13 per cent of international gross domestic product (GDP). But he fears the deal to be unveiled on Monday “may not be ambitious enough” especially if it only focuses on goods rather than the future growth areas of digital services. It is a view shared by the Labour chair of the Commons foreign affairs committee Dame Emily Thornberry. In an interview with The Independent, she called on Sir Keir to be more “courageous”, adding: “We should be going further than the government currently seems to have the ambition for doing.” The deal is expected to include closer defence cooperation, goods and services, and a youth mobility agreement, which would allow 18- to 30-year-olds to live and work in the UK and Europe for a time-limited period. It has also been reported that it will include an agreement to allow EU trawlers to fish in British waters. Two immediate big wins could be to include the UK in the €150bn (£126bn) EU defence procurement fund, which would allow the government to bid for military equipment contracts and invite them to join the EU data hub. The latter is being championed by Poland, who currently have the presidency of the EU. A special report from earlier this year found that Brexit had cost the UK £30.2bn in settlement costs, stopped 16,400 businesses from exporting to the EU, and could lead to a 15 per cent long-term loss of trade. From the £24.8bn export boost for the UK estimated by Frontier Economics in a report commissioned by pro-EU group Best for Britain, farm food exports alone could see a £3.2bn increase. Agricultural exports have suffered since Brexit, with food and drink exports down by more than a third, according to trade bodies. The EU, meanwhile, would also benefit, with a £22.4bn boost to exports in goods and services from a closer agreement, selling £5bn more in agricultural products. Amar Breckenridge, senior associate at Frontier Economist, said that some of the economic damage caused by President Trump’s tariffs could be offset by the benefits of a closer EU trading relationship. While tariffs could still cost the UK £4.3bn in GDP under the new US trade deal, Mr Breckenridge estimates the UK could claw back £8.1bn from closer trading with the EU. The long-awaited youth mobility scheme alone could boost GDP by 0.45 per cent in the next decade, according to a separate study from the Centre for European Reform. But recent reports suggest that the deal might hit speed bumps in a row over high student fees for EU students coming to the UK, in addition to a lack of flexibility over the amount of fish EU countries can take from British waters. On youth mobility, John Springford, associate fellow at the Centre for European Reform, noted: “The youth mobility scheme would raise GDP by bringing more young EU workers into the UK labour force – although the final numbers will depend on how many are allowed to come and how long they can stay for.” Introducing it could amount to 31,000 more young people a year coming to the UK at the highest end, which would mean more people working and contributing to the economy. But EU officials want lower fees for their students, according to reports, which is causing tension ahead of Monday’s talks. International students currently pay around £12,000 more in fees on average per year than domestic students. The number of EU students at UK universities has dropped by nearly half since Brexit, with 75,000 EU nationals enrolled in British colleges and universities in the 2023/24 academic year – down from 148,000 in 2019. The Independent estimates that UK universities generate around £1bn a year in extra fees from EU students, which is likely why the government is facing domestic pushback over lowering fees. However, according to research from the London School of Economics, lowering fees would have a positive impact because EU students spend around £61,000 here over the course of their studies, on top of their tuition fees. Join thought-provoking conversations, follow other Independent readers and see their replies",2025-05-18
Independent,Politics,UK Politics,https://www.independent.co.uk/news/uk/politics,"Notifications can be managed in browser preferences. Please refresh the page or navigate to another page on the site to be automatically logged inPlease refresh your browser to be logged in I would like to be emailed about offers, events and updates from The Independent. Read our Privacy notice Please refresh the page or navigate to another page on the site to be automatically logged inPlease refresh your browser to be logged in",2025-05-18
Independent,Politics,Talks over winter fuel U-turn ‘intensify’ as Labour bids to woo voters,https://www.independent.co.uk/news/uk/politics/starmer-reeves-winter-fuel-uturn-labour-b2752608.html,"Prime minister Keir Starmer under pressure as focus groups tell government they might not bear a grudge if there is a reversal of the chancellor Rachel Reeves’s cuts I would like to be emailed about offers, events and updates from The Independent. Read our Privacy notice Sir Keir Starmer is poised to reverse controversial reforms to his government’s infamous winter fuel payment cuts as soon as June, according to reports. The move could allow the party to repair its damaged relationship with voters and tackle the threat from Nigel Farage and Reform UK. Rachel Reeves’s decision to strip 10 million pensioners of the payment within weeks of taking office has proven toxic for her party and was a key issue during last month’s local elections, which were disastrous for Labour. Discussion on the policy within No 10 has intensified after focus groups of voters showed Labour could be forgiven for the move if there was a full or semi-U-turn, according to The i Paper. And, asked during a trip to Albania whether he was considering changing course, the PM refused to rule out making more people eligible for the allowance. Ministers are considering whether to give more pensioners the allowance, by increasing the £11,500 income cut threshold over which they no longer get the payment or by reversing it altogether, the paper reported. It comes as No 10 is also facing a potential Labour rebellion next month when changes to welfare are voted on in the House of Commons. More than 100 Labour MPs have signed a letter raising their concerns about the cuts. In the wake of the elections, which saw Reform win more than 500 council seats, Sir Keir publicly ruled out an outright U-turn, telling broadcasters, “we had to stop the chaos, we had to stabilise the economy”. But just hours before, the health secretary, Wes Streeting, failed to rule out a reversal of the policy. Senior Labour figures have also joined calls for ministers to restore the payment to at least some of those affected. A Treasury spokesperson pointed The i to Ms Reeves’s repeated denials that she will change course. A Downing Street spokesperson said: “We had to take tough but right decisions in the Budget to stabilise the economy after years of damage and decline. “As a result of what we’ve done, [we have] got record investment into the NHS, which is bringing down waiting lists and delivering three million extra appointments in the first 10 months of a Labour government, with four interest rate cuts and growth figures of 0.7 per cent. “The decisions we made weren’t easy. But it’s clear they are having the effect of stabilising our economy and allowing our economy to grow, putting more money in the pockets of working people.” Ministers insist they had to cut the allowance to repair the public finances following a £22bn “black hole” left by the previous government. The policy is expected to save the government around £1.5bn a year, but will push more than 100,000 pensioners into poverty. The change is more widely known than any of Labour’s other policies, while around two-thirds of voters dislike it. Luke Tryl, executive director of polling organisation More In Common, has described it as Labour’s “original sin” and said it had a major impact on the party’s disastrous performance in this month’s elections. Join thought-provoking conversations, follow other Independent readers and see their replies",2025-05-18
Independent,Politics,Hundreds of MPs and peers call for Starmer to ban Iranian army,https://www.independent.co.uk/news/uk/politics/starmer-iran-revolutionary-corps-tehran-b2752882.html,"Three Iranian men in London were charged with spying offences after a counter terror probe I would like to be emailed about offers, events and updates from The Independent. Read our Privacy notice Sir Keir Starmer is facing calls from hundreds of MPs and peers to ban Iran’s Islamic Revolutionary Guard Corps (IRGC) amid a deteriorating human rights picture in the UK and after three Iranian men were charged with spying in London. Former Labour leader Lord Kinnock is among those urging the prime minister to outlaw the IRGC, warning “the human rights crisis in Iran continues to worsen”. It came as three Iranian men living in London were charged under the National Security Act, accused of engaging in conduct likely to assist a foreign intelligence service. More than 550 MPs and peers, also including former Tory leader Sir Iain Duncan Smith and ex-home secretary Suella Braverman, signed a letter criticising Iran’s “hijab and chastity law”. They said it “mandatory hijab, suppressing women who lead the protest and resistance movement to prevent future uprisings”. “Appeasing this faltering regime betrays democratic values, emboldens its repressive policies, and undermines global security as Tehran continues its nuclear ambitions and terrorism,” the letter said. It added: “Given the regime’s complete blockade of all avenues for political activity, the international community must recognise the Iranian people’s right to regime change. “The IRGC should be designated as a terrorist organisation,” the letter said. The UK has previously resisted calls to ban the IRGC over fears it could sever the country’s diplomatic link with Tehran. But Tory MP Bob Blackman, chairman of the influential backbench 1922 Committee, said “it’s time to change course on our Iran policy”. Mr Blackman, who coordinated the letter, said: “Our ally, the US, rightly designated the IRGC as a terrorist entity several years ago. While the regime has never been weaker, we must set aside all wrong-headed political and diplomatic calculations and proscribe the IRGC as a terrorist entity — an action long overdue.” Following the recent arrests and charging of the Iranian men, Mr Blackman said: ““Iranian terrorism has reached our soil. A serious terror plot, involving several Iranians, was recently thwarted in the UK.” The letter came as Mostafa Sepahvand, Farhad Javadi Manesh and Shapoor Qalehali Khani Noori were charged with engaging in conduct likely to assist the Iranian foreign intelligence service between last August and February. Sepahvand was also charged with engaging in surveillance, reconnaissance and open-source research, intending to commit serious violence against a person in the UK. Manesh and Noori have also been charged with engaging in surveillance and reconnaissance, with the intention that serious violence against a person in the UK would be committed by others. Former Tory MP and minister David Jones said there is a “growing consensus among UK politicians that the time for a new policy on Iran has arrived”. The MPs backed Iranian opposition group the National Council of Resistance of Iran’s 10-point plan to “end the religious dictatorship and transfer sovereignty to the people’s representatives”. The group calls for an end to compulsory hijab and religion, an end to dictatorship and executions and a democratic Iranian state. The Foreign Office was asked to comment. Following the charges brought against the three Iranian men, Yvette Cooper promised to strengthen national security powers. The home secretary said: ""I want to thank the police and security services for their continuing work on this very serious investigation, and for their immense dedication to protecting our national security and the safety of our communities. ""The charges that have been laid against these three individuals must now take their course through the criminal justice system and nothing must be done to prejudice the outcome of those proceedings. ""But we will also take separate action to address the very serious wider issues raised by this case. ""The police have confirmed that the foreign state to which these charges relate is Iran, and Iran must be held to account for its actions. ""We must also strengthen our powers to protect our national security as we will not tolerate growing state threats on our soil.” Join thought-provoking conversations, follow other Independent readers and see their replies",2025-05-18
Independent,Politics,Starmer accused of ignoring foreign press at post-Brexit reset summit,https://www.independent.co.uk/news/uk/politics/starmer-brexit-uk-eu-summit-b2752848.html,"A foreign journalist said news wires from Spain, Italy and Germany have been denied access to the EU-UK summit on Monday I would like to be emailed about offers, events and updates from The Independent. Read our Privacy notice Sir Keir Starmer has been accused of shutting European news outlets out of his much-hyped EU-UK summit on Monday. With the prime minister set to unveil his post-Brexit reset plans alongside Brussels leaders, the Foreign Press Association (FPA) has said “almost every European news outlet” with a foreign correspondent in London has been denied access to the summit. In a letter sent to Downing Street the FPA, which represents foreign journalists based in the UK, said: “Sir Keir Starmer, you state that you want a reset with the EU. You organise a summit between the UK and the EU to restart the relationship. “Yet you deny accreditation to almost every European news outlet who has a foreign correspondent in London, leaving out the biggest news agencies, the most important papers, the most trusted broadcasters. “The Foreign Press Association in London represents the top international news outlets in the world, the vast majority of which have been denied access to Monday’s summit. “We urge you to reconsider, if not out of a consideration for press freedom at least out of fairness.” One journalist hoping to attend the summit said two of their countries biggest news outlets had been shut out, comparing it to shutting the BBC and PA out of a summit in Brussels. The reporter said: “I believe it is a complete and utter shambles. They have denied access to public broadcasters and news wires from Spain, Italy, Germany and many other countries but granted it to freelancers. “Either they have no understanding of who the key players in European media are, or they simply don’t care.” Government officials said they had received 500 accreditation requests for only 100 spaces, with the majority of those 100 awarded to European outlets. “We always accommodate as much as we can,” a source stressed. Monday’s summit is the culmination of months of negotiations between the UK and EU on the future of Britain’s relationship with Brussels. The prime minister will be joined by European Commission president Ursula Von Der Leyen and European Council president Antonio Costa as they set out a path forward. Major announcements include the expected unveiling of a youth mobility scheme between the UK and EU, which would let young people live, work and study freely between Britain and Europe. Britain is also hoping to secure access to the EU’s major 150 billion euro defence fund, which would be a significant boost to the UK’s arms firms. Join thought-provoking conversations, follow other Independent readers and see their replies",2025-05-18
